Year,S&P,T_Bill,T_Bond,Corporate_Bond,Housing,Inflation
2008,-0.365523441,0.01365,0.201012799,-0.050657146,-0.1199508,0.038391
2009,0.259352339,0.0015,-0.111166953,0.233295025,-0.0385374,-0.0035555
2010,0.148210923,0.001366667,0.084629339,0.083478424,-0.0411661,0.0164004
2011,0.020983747,0.000525,0.16035335,0.125845144,-0.0389587,0.0315684
2012,0.158905852,0.000858333,0.02971572,0.101246779,0.0645028,0.0206934
2013,0.321450859,0.000583333,-0.091045688,-0.010559012,0.1071347,0.0146483
2014,0.135244216,0.000325,0.107461805,0.103849078,0.0452071,0.0162222
2015,0.013788916,0.000525,0.012842997,-0.006975184,0.0521893,0.0011863
2016,0.117730809,0.003175,0.006905505,0.103651058,0.0533055,0.0126158
2017,0.216054814,0.009308333,0.028017163,0.097239019,0.0623032,0.0213011
2018,-0.042268693,0.019391667,-0.000166924,-0.027626282,0.0454613,0.0244258
2019,0.312236472,0.0155,0.096356307,0.153294576,0.0454613,0.0229
